LocalDeviceID,SensorType,InstallationDate
S01,Temperature,2024-01-01
S02,Humidity,2024-01-01
S03,Gas,2024-01-01
S04,Wind,2024-01-01
S05,Pressure,2024-01-01
S06,Temperature,2024-01-01
S07,Humidity,2024-01-01
S08,Gas,2024-01-01
S09,Wind,2024-01-01
S10,Pressure,2024-01-01
S11,Temperature,2024-01-01
S12,Humidity,2024-01-01
S13,Gas,2024-01-01
S14,Wind,2024-01-01
S15,Pressure,2024-01-01
S16,Temperature,2024-01-01
S17,Humidity,2024-01-01
S18,Gas,2024-01-01
S19,Wind,2024-01-01
S20,Pressure,2024-01-01
S21,Temperature,2024-01-01
S22,Humidity,2024-01-01
S23,Gas,2024-01-01
S24,Wind,2024-01-01
S25,Pressure,2024-01-01
S26,Temperature,2024-01-01
S27,Humidity,2024-01-01
S28,Gas,2024-01-01
S29,Wind,2024-01-01
S30,Pressure,2024-01-01
S31,Temperature,2024-01-01
S32,Humidity,2024-01-01
S33,Gas,2024-01-01
S34,Wind,2024-01-01
S35,Pressure,2024-01-01
S36,Temperature,2024-01-01
S37,Humidity,2024-01-01
S38,Gas,2024-01-01
S39,Wind,2024-01-01
S40,Pressure,2024-01-01
S41,Temperature,2024-01-01
S42,Humidity,2024-01-01
S43,Gas,2024-01-01
S44,Wind,2024-01-01
S45,Pressure,2024-01-01
S46,Temperature,2024-01-01
S47,Humidity,2024-01-01
S48,Gas,2024-01-01
S49,Wind,2024-01-01
S50,Pressure,2024-01-01
S51,Temperature,2024-01-01
S52,Humidity,2024-01-01
S53,Gas,2024-01-01
S54,Wind,2024-01-01
S55,Pressure,2024-01-01
S56,Temperature,2024-01-01
S57,Humidity,2024-01-01
S58,Gas,2024-01-01
S59,Wind,2024-01-01
S60,Pressure,2024-01-01
S61,Temperature,2024-01-01
S62,Humidity,2024-01-01
S63,Gas,2024-01-01
S64,Wind,2024-01-01
S65,Pressure,2024-01-01
S66,Temperature,2024-01-01
S67,Humidity,2024-01-01
S68,Gas,2024-01-01
S69,Wind,2024-01-01
S70,Pressure,2024-01-01
S71,Temperature,2024-01-01
S72,Humidity,2024-01-01
S73,Gas,2024-01-01
S74,Wind,2024-01-01
S75,Pressure,2024-01-01
S76,Temperature,2024-01-01
S77,Humidity,2024-01-01
S78,Gas,2024-01-01
S79,Wind,2024-01-01
S80,Pressure,2024-01-01
S81,Temperature,2024-01-01
S82,Humidity,2024-01-01
S83,Gas,2024-01-01
S84,Wind,2024-01-01
S85,Pressure,2024-01-01
S86,Temperature,2024-01-01
S87,Humidity,2024-01-01
S88,Gas,2024-01-01
S89,Wind,2024-01-01
S90,Pressure,2024-01-01
S91,Temperature,2024-01-01
S92,Humidity,2024-01-01
S93,Gas,2024-01-01
S94,Wind,2024-01-01
S95,Pressure,2024-01-01
S96,Temperature,2024-01-01
S97,Humidity,2024-01-01
S98,Gas,2024-01-01
S99,Wind,2024-01-01
S100,Pressure,2024-01-01
S101,Temperature,2024-01-01
S102,Humidity,2024-01-01
S103,Gas,2024-01-01
S104,Wind,2024-01-01
S105,Pressure,2024-01-01
