ReadingID,HomeID,LocalDeviceID,ConditionType,Value,Timestamp
R00021,homeA2014,S59,Rain,16.67,2014-01-01 05:00:00
R00022,homeA2014,S58,Rain,16.19,2014-01-01 06:00:00
R00023,homeA2014,S38,Rain,15.69,2014-01-01 07:00:00
R00024,homeA2014,S94,Thunderstorm,15.29,2014-01-01 08:00:00
R00025,homeA2014,S63,Sunny,15.37,2014-01-01 09:00:00
R00026,homeA2014,S27,Thunderstorm,14.81,2014-01-01 10:00:00
R00027,homeA2014,S07,Sunny,14.4,2014-01-01 11:00:00
R00028,homeA2014,S99,Rain,13.79,2014-01-01 12:00:00
R00029,homeA2014,S74,Thunderstorm,14.5,2014-01-01 13:00:00
R00030,homeA2014,S79,Windy,17.05,2014-01-01 14:00:00
R00031,homeA2014,S30,Windy,18.29,2014-01-01 15:00:00
R00032,homeA2014,S101,Rain,19.68,2014-01-01 16:00:00
R00033,homeA2014,S26,Sunny,20.82,2014-01-01 17:00:00
R00034,homeA2014,S62,Windy,21.61,2014-01-01 18:00:00
R00035,homeA2014,S54,Sunny,21.63,2014-01-01 19:00:00
R00036,homeA2014,S93,Rain,21.74,2014-01-01 20:00:00
R00037,homeA2014,S14,Windy,21.52,2014-01-01 21:00:00
R00038,homeA2014,S96,Thunderstorm,19.73,2014-01-01 22:00:00
R00039,homeA2014,S69,Thunderstorm,17.26,2014-01-01 23:00:00
R00040,homeA2014,S103,Windy,16.5,2014-01-02 00:00:00
R00041,homeA2014,S58,Cloudy,17.39,2014-01-02 01:00:00
R00042,homeA2014,S95,Cloudy,16.34,2014-01-02 02:00:00
R00043,homeA2014,S26,Sunny,17.25,2014-01-02 03:00:00
R00044,homeA2014,S68,Windy,17.04,2014-01-02 04:00:00
R00045,homeA2014,S60,Sunny,15.97,2014-01-02 05:00:00
R00046,homeA2014,S18,Windy,15.55,2014-01-02 06:00:00
R00047,homeA2014,S04,Windy,14.8,2014-01-02 07:00:00
R00048,homeA2014,S11,Windy,14.51,2014-01-02 08:00:00
R00049,homeA2014,S91,Cloudy,14.09,2014-01-02 09:00:00
R00050,homeA2014,S60,Sunny,12.14,2014-01-02 10:00:00
R00051,homeA2014,S24,Cloudy,10.08,2014-01-02 11:00:00
R00052,homeA2014,S08,Rain,9.23,2014-01-02 12:00:00
R00053,homeA2014,S18,Thunderstorm,8.98,2014-01-02 13:00:00
R00054,homeA2014,S45,Sunny,8.29,2014-01-02 14:00:00
R00055,homeA2014,S14,Thunderstorm,11.0,2014-01-02 15:00:00
R00056,homeA2014,S48,Windy,11.31,2014-01-02 16:00:00
R00057,homeA2014,S53,Windy,11.84,2014-01-02 17:00:00
R00058,homeA2014,S91,Cloudy,11.36,2014-01-02 18:00:00
R00059,homeA2014,S08,Thunderstorm,10.56,2014-01-02 19:00:00
R00060,homeA2014,S47,Thunderstorm,9.83,2014-01-02 20:00:00
R00061,homeA2014,S105,Rain,9.49,2014-01-02 21:00:00
R00062,homeA2014,S88,Windy,8.84,2014-01-02 22:00:00
R00063,homeA2014,S02,Cloudy,8.59,2014-01-02 23:00:00
R00064,homeA2014,S28,Windy,7.71,2014-01-03 00:00:00
R00065,homeA2014,S92,Windy,6.91,2014-01-03 01:00:00
R00066,homeA2014,S34,Sunny,6.42,2014-01-03 02:00:00
R00067,homeA2014,S05,Sunny,5.34,2014-01-03 03:00:00
R00068,homeA2014,S58,Windy,5.17,2014-01-03 04:00:00
R00069,homeA2014,S104,Rain,-0.25,2014-01-03 05:00:00
R00070,homeA2014,S16,Thunderstorm,-1.06,2014-01-03 06:00:00
R00071,homeA2014,S77,Sunny,-2.1,2014-01-03 07:00:00
R00072,homeA2014,S24,Cloudy,-2.51,2014-01-03 08:00:00
R00073,homeA2014,S35,Cloudy,-3.49,2014-01-03 09:00:00
R00074,homeA2014,S20,Windy,-2.94,2014-01-03 10:00:00
R00075,homeA2014,S40,Sunny,-3.66,2014-01-03 11:00:00
R00076,homeA2014,S25,Cloudy,-3.75,2014-01-03 12:00:00
R00077,homeA2014,S48,Rain,-3.76,2014-01-03 13:00:00
R00078,homeA2014,S87,Rain,-3.59,2014-01-03 14:00:00
R00079,homeA2014,S104,Windy,-2.63,2014-01-03 15:00:00
R00080,homeA2014,S64,Rain,-0.45,2014-01-03 16:00:00
R00081,homeA2014,S29,Sunny,0.13,2014-01-03 17:00:00
R00082,homeA2014,S39,Windy,1.62,2014-01-03 18:00:00
R00083,homeA2014,S98,Cloudy,2.67,2014-01-03 19:00:00
R00084,homeA2014,S07,Thunderstorm,3.05,2014-01-03 20:00:00
R00085,homeA2014,S15,Sunny,2.01,2014-01-03 21:00:00
R00086,homeA2014,S103,Rain,-0.07,2014-01-03 22:00:00
R00087,homeA2014,S88,Rain,-1.64,2014-01-03 23:00:00
R00088,homeA2014,S62,Sunny,-3.64,2014-01-04 00:00:00
R00089,homeA2014,S89,Sunny,-6.45,2014-01-04 01:00:00
R00090,homeA2014,S76,Cloudy,-9.13,2014-01-04 02:00:00
R00091,homeA2014,S31,Sunny,-10.68,2014-01-04 03:00:00
R00092,homeA2014,S104,Windy,-12.26,2014-01-04 04:00:00
R00093,homeA2014,S13,Thunderstorm,-11.59,2014-01-04 05:00:00
R00094,homeA2014,S07,Rain,-12.32,2014-01-04 06:00:00
R00095,homeA2014,S60,Windy,-13.55,2014-01-04 07:00:00
R00096,homeA2014,S35,Thunderstorm,-13.72,2014-01-04 08:00:00
R00097,homeA2014,S14,Rain,-13.38,2014-01-04 09:00:00
R00098,homeA2014,S03,Rain,-10.83,2014-01-04 10:00:00
R00099,homeA2014,S105,Cloudy,-9.19,2014-01-04 11:00:00
R00100,homeA2014,S13,Thunderstorm,-8.91,2014-01-04 12:00:00
R00101,homeA2014,S92,Cloudy,-6.53,2014-01-04 13:00:00
R00102,homeA2014,S92,Cloudy,-2.71,2014-01-04 14:00:00
R00103,homeA2014,S24,Windy,2.69,2014-01-04 15:00:00
R00104,homeA2014,S16,Sunny,10.08,2014-01-04 16:00:00
R00105,homeA2014,S45,Cloudy,15.32,2014-01-04 17:00:00
R00106,homeA2014,S04,Sunny,19.07,2014-01-04 18:00:00
R00107,homeA2014,S40,Sunny,21.65,2014-01-04 19:00:00
R00108,homeA2014,S87,Thunderstorm,22.72,2014-01-04 20:00:00
R00109,homeA2014,S49,Sunny,20.55,2014-01-04 21:00:00
R00110,homeA2014,S23,Rain,16.81,2014-01-04 22:00:00
R00111,homeA2014,S97,Thunderstorm,14.52,2014-01-04 23:00:00
R00112,homeA2014,S82,Windy,14.21,2014-01-05 00:00:00
R00113,homeA2014,S105,Cloudy,11.65,2014-01-05 01:00:00
R00114,homeA2014,S87,Sunny,11.12,2014-01-05 02:00:00
R00115,homeA2014,S79,Sunny,11.53,2014-01-05 03:00:00
R00116,homeA2014,S60,Windy,12.01,2014-01-05 04:00:00
R00117,homeA2014,S88,Windy,10.67,2014-01-05 05:00:00
R00118,homeA2014,S70,Thunderstorm,8.65,2014-01-05 06:00:00
R00119,homeA2014,S23,Sunny,6.91,2014-01-05 07:00:00
R00120,homeA2014,S24,Sunny,5.67,2014-01-05 08:00:00
