ProfileID,UptimePercentage,PartitionKey
HP011,99.1,N
HP012,99.1,W
HP013,99.1,N
HP014,99.1,N
HP015,99.1,N
HP016,99.1,S
HP017,99.1,N
HP018,99.1,S
HP019,99.1,E
HP020,99.1,E
HP021,99.1,W
HP022,99.1,S
HP023,99.1,S
HP024,99.1,N
HP025,99.1,N
HP026,99.1,W
HP027,99.1,W
HP028,99.1,E
HP029,99.1,W
HP030,99.1,E
HP031,99.1,W
HP032,99.1,E
HP033,99.1,W
HP034,99.1,W
HP035,99.1,N
HP036,99.1,W
HP037,99.1,N
HP038,99.1,W
HP039,99.1,S
HP040,99.1,S
HP041,99.1,E
HP042,99.1,N
HP043,99.1,N
HP044,99.1,W
HP045,99.1,S
HP046,99.1,E
HP047,99.1,W
HP048,99.1,N
HP049,99.1,N
HP050,99.1,N
HP051,99.1,N
HP052,99.1,E
HP053,99.1,W
HP054,99.1,E
HP055,99.1,W
HP056,99.1,N
HP057,99.1,W
HP058,99.1,S
HP059,99.1,E
HP060,99.1,E
HP061,99.1,W
HP062,99.1,N
HP063,99.1,S
HP064,99.1,S
HP065,99.1,S
HP066,99.1,N
HP067,99.1,N
HP068,99.1,E
HP069,99.1,E
HP070,99.1,E
HP071,99.1,S
HP072,99.1,N
HP073,99.1,S
HP074,99.1,E
HP075,99.1,N
HP076,99.1,E
HP077,99.1,N
HP078,99.1,N
HP079,99.1,S
HP080,99.1,S
HP081,99.1,N
HP082,99.1,W
HP083,99.1,E
HP084,99.1,S
HP085,99.1,S
HP086,99.1,N
HP087,99.1,S
HP088,99.1,N
HP089,99.1,S
HP090,99.1,E
HP091,99.1,S
HP092,99.1,W
HP093,99.1,W
HP094,99.1,S
HP095,99.1,N
HP096,99.1,E
HP097,99.1,W
HP098,99.1,E
HP099,99.1,E
HP100,99.1,E
HP101,99.1,W
HP102,99.1,N
HP103,99.1,E
HP104,99.1,E
HP105,99.1,E
HP106,99.1,S
HP107,99.1,S
HP108,99.1,E
HP109,99.1,W
HP110,99.1,S
HP111,99.1,E
HP112,99.1,E
HP113,99.1,W
HP114,99.1,E
HP115,99.1,W
