ProfileID,UptimePercentage,PartitionKey,HomeID
HP011,99.1,N,homeA2014
HP012,99.1,W,homeA2015
HP013,99.1,N,homeA2016
HP014,99.1,N,homeB2014
HP015,99.1,N,homeB2015
HP016,99.1,S,homeB2016
HP017,99.1,N,homeC2014
HP018,99.1,S,homeC2015
HP019,99.1,E,homeC2016
HP020,99.1,E,homeD2015
HP021,99.1,W,homeD2016
HP022,99.1,S,homeF2014
HP023,99.1,S,homeF2015
HP024,99.1,N,homeF2016
HP025,99.1,N,homeG2015
HP026,99.1,W,homeG2016
HP027,99.1,W,homeH2016
HP028,99.1,E,H1017
HP029,99.1,W,H1018
HP030,99.1,E,H1019
HP031,99.1,W,H1020
HP032,99.1,E,H1021
HP033,99.1,W,H1022
HP034,99.1,W,H1023
HP035,99.1,N,H1024
HP036,99.1,W,H1025
HP037,99.1,N,H1026
HP038,99.1,W,H1027
HP039,99.1,S,H1028
HP040,99.1,S,H1029
HP041,99.1,E,H1030
HP042,99.1,N,H1031
HP043,99.1,N,H1032
HP044,99.1,W,H1033
HP045,99.1,S,H1034
HP046,99.1,E,H1035
HP047,99.1,W,H1036
HP048,99.1,N,H1037
HP049,99.1,N,H1038
HP050,99.1,N,H1039
HP051,99.1,N,H1040
HP052,99.1,E,H1041
HP053,99.1,W,H1042
HP054,99.1,E,H1043
HP055,99.1,W,H1044
HP056,99.1,N,H1045
HP057,99.1,W,H1046
HP058,99.1,S,H1047
HP059,99.1,E,H1048
HP060,99.1,E,H1049
HP061,99.1,W,H1050
HP062,99.1,N,H1051
HP063,99.1,S,H1052
HP064,99.1,S,H1053
HP065,99.1,S,H1054
HP066,99.1,N,H1055
HP067,99.1,N,H1056
HP068,99.1,E,H1057
HP069,99.1,E,H1058
HP070,99.1,E,H1059
HP071,99.1,S,H1060
HP072,99.1,N,H1061
HP073,99.1,S,H1062
HP074,99.1,E,H1063
HP075,99.1,N,H1064
HP076,99.1,E,H1065
HP077,99.1,N,H1066
HP078,99.1,N,H1067
HP079,99.1,S,H1068
HP080,99.1,S,H1069
HP081,99.1,N,H1070
HP082,99.1,W,H1071
HP083,99.1,E,H1072
HP084,99.1,S,H1073
HP085,99.1,S,H1074
HP086,99.1,N,H1075
HP087,99.1,S,H1076
HP088,99.1,N,H1077
HP089,99.1,S,H1078
HP090,99.1,E,H1079
HP091,99.1,S,H1080
HP092,99.1,W,H1081
HP093,99.1,W,H1082
HP094,99.1,S,H1083
HP095,99.1,N,H1084
HP096,99.1,E,H1085
HP097,99.1,W,H1086
HP098,99.1,E,H1087
HP099,99.1,E,H1088
HP100,99.1,E,H1089
HP101,99.1,W,H1090
HP102,99.1,N,H1091
HP103,99.1,E,H1092
HP104,99.1,E,H1093
HP105,99.1,E,H1094
HP106,99.1,S,H1095
HP107,99.1,S,H1096
HP108,99.1,E,H1097
HP109,99.1,W,H1098
HP110,99.1,S,H1099
HP111,99.1,E,H1100
HP112,99.1,E,H1101
HP113,99.1,W,H1102
HP114,99.1,E,H1103
HP115,99.1,W,H1104
